0.000,1,0,-2,0,2,-1,0,1,0,2,2,0,0,0,0,0,5,
0.044,2,-6,-14,-2,13,-5,-1,6,7,8,13,0,0,0,0,0,16,
0.077,3,-7,-6,0,4,-3,0,1,14,16,3,0,0,0,0,0,13,
0.094,4,-5,-2,0,2,0,0,1,1,4,5,0,0,0,0,0,6,
0.111,5,-6,-1,0,0,-5,2,2,-1,3,3,0,0,0,0,0,7,
0.161,6,-1,0,-6,-10,-6,2,2,8,10,16,0,0,0,0,0,19,
0.177,7,2,-3,-5,-4,-3,0,0,2,0,4,0,0,0,0,0,5,
0.194,8,2,-4,-6,-4,-3,0,-3,8,6,5,0,0,0,0,0,7,
0.211,9,-1,-3,-7,-3,-3,0,1,9,5,3,0,0,0,0,0,6,
0.227,10,-3,-1,-3,-2,0,1,7,3,7,2,0,0,0,0,0,6,
0.244,11,-5,-3,-7,0,0,0,5,3,5,0,0,0,0,0,0,7,
0.261,12,-7,-3,-7,0,-1,-6,3,0,3,1,0,0,0,0,0,6,
0.277,13,-7,-2,-7,0,-1,-1,3,1,4,0,0,0,0,0,0,7,
0.294,14,-4,-1,-2,0,0,-1,6,2,5,0,0,0,0,0,0,6,
0.311,15,-2,0,-4,-1,0,1,4,0,5,1,0,0,0,0,0,6,
0.327,16,-1,0,-3,0,0,1,7,-1,10,1,0,0,0,0,0,7,
0.344,17,2,0,-1,-2,-2,0,10,0,5,3,0,0,0,0,0,6,
0.361,18,7,0,-2,-2,-2,-2,18,2,4,5,0,0,0,0,0,7,
0.377,19,3,2,-1,-2,-1,-5,12,5,4,3,0,0,0,0,0,6,
0.394,20,0,1,0,0,0,-3,10,5,4,0,0,0,0,0,0,6,
0.411,21,-5,-1,-4,0,1,6,5,7,8,1,0,0,0,0,0,7,
0.427,22,-8,1,-4,0,-1,7,7,2,8,3,0,0,0,0,0,6,
0.444,23,-7,-2,-7,0,-1,-2,5,3,5,1,0,0,0,0,0,6,
0.461,24,-5,-4,-8,0,0,-3,10,0,8,-1,0,0,0,0,0,7,
0.477,25,2,0,-10,0,2,4,10,0,8,0,0,0,0,0,0,6,
0.494,26,4,-1,-9,0,-1,0,19,0,10,0,0,0,0,0,0,7,
0.511,27,8,0,-5,0,0,7,13,0,10,0,0,0,0,0,0,6,
0.527,28,9,0,-7,0,-1,3,11,5,8,0,0,0,0,0,0,6,
0.544,29,5,0,-7,0,1,-2,13,3,10,0,0,0,0,0,0,7,
0.561,30,1,0,-2,0,0,2,13,4,10,0,0,0,0,0,0,6,
0.577,31,-4,-1,-2,0,0,2,14,4,11,1,0,0,0,0,0,7,
0.594,32,-8,0,-1,-1,-2,0,16,1,9,7,0,0,0,0,0,6,
0.610,33,-5,-1,-4,0,-4,2,19,0,9,6,0,0,0,0,0,6,
0.627,34,-2,-2,-7,0,-1,1,14,3,10,6,0,0,0,0,0,7,
0.644,35,0,-2,-2,-1,2,0,9,5,10,2,0,0,0,0,0,6,
0.661,36,7,0,-6,0,4,0,10,5,10,4,0,0,0,0,0,7,
0.677,37,8,1,-3,0,4,0,10,2,10,4,0,0,0,0,0,6,
