S,S_t,S_c,S_ct
-6.55769214798001,-2.33328466275026,-2.23975650922976,18.5945539358081
-7.20836833982295,3.80124124408869,-4.59320845692937,12.485517434792
-8.90129240889364,9.05110339572139,-7.61505667746139,8.59935468871167
-18.9010259848531,3.80527355797045,-6.03374377972772,18.989769278315
7.20472468270088,-20.9320814348517,2.57797552844654,-5.00913787110145
1.91607782525774,8.70720693952486,-3.24242617309604,1.84611960851405
-2.40870026816122,-6.48723382143525,-3.99855027834664,-0.0336835858395542
8.86364128529894,2.16224615819489,-13.2483601579987,-6.35486190151827
-1.15852102450083,-0.0845709488358498,0.317201071310565,6.56279326795091
2.47250475287653,3.40425217882068,-12.0355834119176,6.89736196191494
-0.674643358690309,-1.06791065444828,-7.39451873368145,14.6089598353745
