S,S_t,S_c,S_ct
53.913065396361,-71.5111291202638,57.9672002594736,-53.437781045818
26.1467329987189,-27.0509772433746,24.1758431392641,-28.6015814941425
15.510401559964,-18.9816770254387,16.9272326307819,-13.9878615660519
28.4895378469013,-33.9371939011514,33.3370821442618,-34.1626291106214
22.0743045953783,-22.8874536016219,21.3504542426232,-34.9695062636646
11.3589700969061,-20.6138811698052,14.5442646789182,-22.2518950146227
98.3820001539471,-70.3623699459752,107.012671242107,-92.1540804087914
46.1283943365396,-39.2486523603778,35.0041686358291,-45.7406901669498
60.344144031562,-29.0105364100031,45.4379832302642,-58.9326722326315
