S,S_t,S_c,S_ct
7.48714859474022,2.21923009781373,-3.9113920948066,-6.04713719649537
22.6697010312864,9.79258809635711,2.12446643493706,7.67008399702042
6.64894551634823,7.15802871613258,-9.33831693076982,-8.69103195967317
12.4629267606352,-6.13046977820477,-1.98180654196954,1.90769503240174
16.358886895866,5.0321714996535,-12.6738302081713,-21.9316151721177
11.2999190367762,13.3298504304599,-2.75533351570722,-7.84729433281603
2.43438209718369,1.08001331163412,-2.11327254870402,-0.97186575789078
-0.684917042889393,1.47511434332934,-2.13785508875423,-7.76417608387852
3.08768267474461,13.1177705341537,-3.86632505730464,-4.05498076311897
-3.49560080619863,8.00939182671839,1.23835760055324,-0.964797539369018
