S,S_t,S_c,S_ct
-10.6225798481106,-4.52752736972244,5.34355415064992,-6.2976112366722
9.63493443525852,2.56351521076995,11.5192148030693,-9.4220038759954
-4.8006540024124,12.3955595889561,4.76016892327832,2.56355331437384
-29.1407789246719,25.5755580712141,-17.2834898960806,-4.26653673487173
-20.6610314485737,12.5610625924562,-5.61309904457414,7.04134786029787
32.6262870387899,-44.5950919797085,32.5357528759451,-23.9464051462053
11.3558265495851,-19.728670554607,17.3008937171578,-19.7696262132491
19.7351138740249,-30.6062825865098,27.1969045203757,-21.4360873294176
20.3421519135118,-26.644072667784,27.2674295282273,-32.2063281685064
8.04101305499736,-18.9763282320425,31.9957628904548,-31.1718581894228
