S,S_t,S_c,S_ct
-0.342456139969454,2.26133458011317,-0.838829247615932,-1.28548223266531
-13.2133391356626,10.7353474638257,3.16571726786301,8.51676512727815
-4.46589479042891,1.16175983083156,2.59201670648034,1.13358221575424
-4.17815542564678,11.4401117213918,17.3893887021343,-11.762049070666
1.00372513369406,-6.35745294658285,6.26972447910458,-5.38257224103421
-10.1557144888473,-0.823741808125299,-2.61153051462296,17.1330235272659
-11.8860982109031,11.240601251419,3.5800955478267,8.2385326116668
-10.2752369209422,18.3033852466758,-7.92681655413633,10.5753218533849
-24.2637224335077,13.7654936966951,-12.8068879929583,14.7553776962758
-15.6727457747016,13.249989087065,1.29430797991654,11.1107727470618
