S,S_t,S_c,S_ct
12.7272133572225,0.965164286556469,3.39670766525028,13.4923908787576
3.04771675721354,-0.122102998668385,2.69541083563829,6.59209493934301
-7.98041879890985,1.06912996977278,-19.2391764175829,18.6984481747672
7.99458381365629,-12.8211994684322,12.4927237788779,-9.07122495634608
-0.0103070248524882,-2.53402183062077,18.7116367846639,-1.76780241366679
1.93028094360807,1.87837609531413,3.89903700124498,-6.17339348798787
0.0323690115053189,2.01518529897797,-7.93105939042958,0.599522103619402
-2.88838653754375,8.62299797492597,-4.57157513582032,-12.3630381630352
-1.62950062039429,1.70976586199047,0.370195563602028,0.630366970969085
3.44119362279291,13.2875268524381,-9.14295594326079,8.7187523315038
-1.84280459497554,3.50892277870898,1.66422824498045,5.88371083940731
