stimulus id,base,combination,secondary,mean,sem,pval_uncorrected,mean_abs,pval_corrected
1.0,S,S+S_ct,S_t,1.2841557985843608,1.6897433294044728,0.4565991380868727,1.2841557985843608,0.5189293787524792
1.0,S,S+S_t,nan,-7.844955724127215,6.518187978381695,0.2594646893762396,7.844955724127215,0.5189293787524792
1.0,S,S-S_c,S_t,-9.129111522711575,4.7708010745216844,0.07086747140505605,9.129111522711575,0.2834698856202242
1.0,S_c,S+S_t,nan,10.413267321295937,6.960574000147255,0.16886145075431333,10.413267321295937,0.50658435226294
2.0,S,S+S_ct,S_t,2.462116805495283,2.1198486550409688,0.25983933448970875,2.462116805495283,0.25983933448970875
2.0,S,S+S_t,nan,13.335276383654014,3.2670406632368625,0.0027507525563728427,13.335276383654014,0.008252257669118529
2.0,S,S-S_c,S_t,10.873159578158731,2.185447042152099,8.401799912418542e-05,10.873159578158731,0.0003360719964967417
2.0,S_c,S+S_t,nan,-8.411042772663446,3.790418945604992,0.05364915388708604,8.411042772663446,0.10729830777417208
3.0,S,S+S_ct,S_c,2.4757593135819413,1.7606618928125635,0.17769430084512655,2.4757593135819413,0.5330829025353796
3.0,S,S+S_t,S_c,2.4757593135819413,1.4995424664194992,0.11708747594288738,2.4757593135819413,0.4683499037715495
3.0,S,S-S_c,nan,-0.09135579215818623,2.4825508987786598,0.971546824650477,0.09135579215818623,1.0
3.0,S_t,S-S_c,nan,0.20869079242684238,3.041858245316299,0.94698676467803,0.20869079242684238,1.0
4.0,S,S+S_ct,S_c,6.7781217610971956,2.9130838617829595,0.03259341849411494,6.7781217610971956,0.09778025548234483
4.0,S,S+S_t,S_c,6.7781217610971956,2.71126197062433,0.022948381513400198,6.7781217610971956,0.09179352605360079
4.0,S,S-S_c,nan,-3.28116801235221,3.9379843806216064,0.4288990479676902,3.28116801235221,0.4288990479676902
4.0,S_t,S-S_c,nan,4.837796019521851,3.3626711663234135,0.18819135342615087,4.837796019521851,0.37638270685230174
5.0,S,S+S_ct,nan,-11.675879993498341,1.4812039002829793,0.00010015266253835172,11.675879993498341,0.0003004579876150552
5.0,S,S+S_t,S_ct,-4.635021448346331,1.3535168525597001,0.003764281916756368,4.635021448346331,0.007528563833512736
5.0,S,S-S_c,S_ct,-7.04085854515201,1.2030401774338422,3.179763771528064e-05,7.04085854515201,0.00012719055086112257
5.0,S_c,S+S_ct,nan,2.4058370968056786,2.0205544439636918,0.2725849831134289,2.4058370968056786,0.2725849831134289
6.0,S,S+S_ct,nan,-7.092293947198439,2.6961192998182524,0.033885201754459617,7.092293947198439,0.04650564232386329
6.0,S,S+S_t,S_ct,4.321941585010284,1.7106041336598152,0.023252821161931645,4.321941585010284,0.04650564232386329
6.0,S,S-S_c,S_ct,-11.414235532208723,2.0338590292153023,4.952604802582978e-05,11.414235532208723,0.00019810419210331912
6.0,S_c,S+S_ct,nan,15.736177117219004,2.9145829684571325,0.0010094379667048242,15.736177117219004,0.003028313900114473
7.0,S,S+S_ct,S_xt,-6.275019022494722,1.8402959359385591,0.0029386702155923075,6.275019022494722,0.01175468086236923
7.0,S,S+S_t,nan,-1.8472810063606606,2.0262516944016915,0.3857085708914356,1.8472810063606606,0.3857085708914356
7.0,S,S-S_c,S_xt,-6.275019022494722,2.1138700594507522,0.007892907340812976,6.275019022494722,0.022310463039498376
7.0,S_c,S+S_t,nan,6.314045860831402,1.837590124101312,0.007436821013166125,6.314045860831402,0.022310463039498376
