S,S_t,S_c,S_ct
-17.2699631166993,-0.926946371853895,11.6291932349796,8.85051459375853
-22.4701905613136,-8.01021581715253,15.7351575726947,23.8360713981887
-4.73545873615507,-8.75902784081648,9.65766704533983,18.9097517101441
-12.7660790331912,-5.99729768260608,14.9399658423747,6.82429830145414
-31.7496945794778,-10.4979429597835,12.9597596517686,18.6551243771432
14.6426434212141,8.47401288371256,-13.5100452310303,-13.50465642885
0.421854524577114,4.6501971594987,3.75754498373671,3.67121936394168
-2.05186478067344,5.71309242708484,-3.68338393948385,-7.65872436011045
2.34837750025144,-5.99462566738323,2.67210476631842,4.64279648703299
6.46255221201493,10.0670197774803,-1.80571454694814,-12.4459716094938
