S,S_t,S_c,S_ct
-3.49809270861693,4.64168195661918,2.69118895632718,-5.79519616756875
-6.48002305892541,3.47335687483722,5.95819117232046,-6.35003608008549
-2.33436717148157,4.71586586303437,1.90954540202761,-9.11908594060333
-4.94853980465356,-12.5726919314375,4.29201375702328,-12.263040017574
-3.53394255761384,-0.51382650309996,2.74241163103772,-1.41884008333297
-8.6619284270213,-4.00612003555462,6.92278659161115,-8.62106421702851
-5.2565664807373,-3.63804993860713,1.43711076139865,-3.5008495776346
-4.6542132793488,-3.37364188678246,4.56687410369028,-6.97125437576037
