stimulus id,S+S_t,S-S_c,S+S_ct,S_t+S_c,S_t-S_ct,S_c+S_ct
10,3.5298255364895903,-3.63458846434117,-6.71153068573903,7.16441400083076,10.241356222228621,-3.07694222139786
10,39.6416441377692,27.395692487397817,0.8585885064736978,12.24595165037138,38.7830556312955,-26.537103980924122
10,9.71841210376734,1.1044329587777,-7.09348121114136,8.61397914498964,16.8118933149087,-8.19791416991906
10,9.00717023353982,6.93201718965371,-11.52489224004907,2.07515304388611,20.53206247358889,-18.45690942970278
10,-22.34609738210359,-15.68651070160719,4.47068631861821,-6.6595866804964,-26.8167837007218,20.1571970202254
10,-6.824183257880857,5.590584577625113,5.781350270504893,-12.41476783550597,-12.605533528385749,0.19076569287978007
10,-17.63314944908945,-5.248242748467329,-1.1919616998655798,-12.384906700622121,-16.44118774922387,4.0562810486017495
10,11.433751716969258,1.747740866218237,-12.060909924833743,9.686010850751021,23.494661641803,-13.80865079105198
11,6.149331062130699,-3.871264236959,-0.6690564177698004,10.020595299089699,6.818387479900499,3.2022078191891996
11,-9.21453451575989,-5.066383772997,-9.529183598199861,-4.14815074276289,0.3146490824399706,-4.46279982520286
11,-2.8481043601003897,-1.2805430530109598,2.25396629571077,-1.56756130708943,-5.1020706558111595,3.5345093487217296
11,4.648987370075159,2.5291028935059794,4.909787486906461,2.1198844765691796,-0.26080011683130166,2.380684593400481
11,-0.9175443075938103,-2.885695470518951,-2.341576006956921,1.9681511629251407,1.4240316993631108,0.5441194635620299
11,-11.242868415850559,-7.50982023905531,-2.1172076983958497,-3.73304817679525,-9.12566071745471,5.39261254065946
11,26.0217410141139,2.9525768212483996,11.5997848734966,23.0691641928655,14.4219561406173,8.6472080522482
11,0.24988636536297015,-5.633134395795031,2.1580166581629996,5.883020761158001,-1.9081302928000294,7.79115105395803
11,5.127354302173002,-17.42971723896235,1.9895987289653014,22.55707154113535,3.1377555732077003,19.419315967927652
12,-17.598063723902804,-4.054134863112601,0.47528435054299933,-13.543928860790203,-18.073348074445803,4.529419213655601
12,-0.9042442446557004,1.9708898594548003,-2.454848495423601,-2.8751341041105007,1.5506042507679005,-4.425738354878401
12,-3.471275465474699,-1.416831070817901,1.5225399939121012,-2.054444394656798,-4.9938154593868,2.939371064730002
12,-5.447656054250103,-4.8475442973605,-5.673091263720103,-0.6001117568896035,0.22543520946999962,-0.8255469663596031
12,-0.8131490062435986,0.7238503527551003,-12.895201668286298,-1.536999358998699,12.082052662042699,-13.619052021041398
12,-9.2549110728991,-3.1852945820120997,-10.8929249177166,-6.069616490887,1.6380138448175003,-7.707630335704501
12,28.0196302079719,-8.6306710881599,6.2279197451557025,36.6503012961318,21.791710462816198,14.858590833315603
12,6.879741976161803,11.124225700710497,0.3877041695898029,-4.244483724548694,6.492037806572,-10.736521531120694
12,31.333607621558905,14.906160801297801,1.4114717989305063,16.427446820261103,29.922135822628398,-13.494689002367295
13,-9.882398290727961,13.456592542902019,-23.17799119981478,-23.33899083362998,13.29559290908682,-36.6345837427168
13,-6.67737080485084,2.32092861659854,-2.8099883725382195,-8.99829942144938,-3.8673824323126205,-5.130916989136759
13,-3.2923228423911697,3.3945929152343393,9.66548876262853,-6.686915757625509,-12.9578116050197,6.270895847394191
13,19.03757024939616,11.884799830600523,17.60752770651927,7.152770418795637,1.4300425428768895,5.722727875918747
13,1.0531702752830903,-9.63400565991367,-2.84270031647856,10.68717593519676,3.8958705917616503,6.79130534343511
13,-7.59275559069414,3.54449535071143,-2.026845001768577,-11.13725094140557,-5.565910588925563,-5.571340352480007
13,6.504772910306234,2.560466922458674,8.509882663825355,3.94430598784756,-2.00510975351912,5.94941574136668
13,12.69691146622824,-2.06649180161706,1.6463662280665003,14.7634032678453,11.050545238161739,3.7128580296835603
14,15.280934209810418,-8.956349085547492,-0.97379648481975,24.237283295357912,16.25473069463017,7.982552600727743
14,19.208712586272142,6.728620152084101,10.466564641979332,12.48009243418804,8.742147944292809,3.7379444898952308
14,24.742143923038377,26.022444065574525,33.56143261340831,-1.2803001425361469,-8.819288690369932,7.538988547833784
14,33.374063337220804,22.62478900617296,22.10583697298087,10.74927433104784,11.268226364239931,-0.51895203319209
14,22.882333429849098,-5.2953673805794,21.4257412483711,28.177700810428497,1.4565921814779994,26.7211086289505
14,17.400831849442802,-3.257688571634489,20.98024724794001,20.65852042107729,-3.5794153984972095,24.2379358195745
14,13.51985500385201,-0.37877840037845,14.29244558152407,13.89863340423046,-0.7725905776720605,14.671223981902521
14,10.09206622890793,4.926127264844939,5.449113517098984,5.165938964062991,4.642952711808946,0.5229862522540449
15,0.4650110850648641,4.9047373595307,-0.3178084050717098,-4.439726274465836,0.7828194901365739,-5.22254576460241
15,15.809576088442448,10.433709082472658,15.467072318968128,5.37586700596979,0.3425037694743198,5.03336323649547
15,14.49519907644087,8.73178737645411,7.380675150050699,5.76341169998676,7.11452392639017,-1.3511122264034103
15,8.1131279985294,1.83552634984592,5.557223982636669,6.27760164868348,2.5559040158927298,3.72169763279075
15,-16.354352567002945,-0.660716491468184,-11.471528142799844,-15.69363607553476,-4.8828244242031005,-10.81081165133166
15,-3.902056031431831,-4.835554045806171,-0.42887394326903494,0.9334980143743401,-3.473182088162796,4.406680102537136
15,1.792170348776518,2.1993172224624926,2.428673986802811,-0.40714687368597496,-0.636503638026293,0.229356764340318
15,-1.0874153449428192,-1.4891302777255495,4.4371762402606425,0.4017149327827303,-5.524591585203462,5.926306517986192
